latitude,longitude,geometry,use_license_url,guid,scientific_name,mongolian_name,country,country_mong,state_prov,aimags,family,Date,MongDate,NumDate,nk,Ecto_detected,Endo_detected,ParaEcto,ParaEctoMong,total_ecto,total_ectoMong,ParaEndo,ParaEndoMong,total_endo,total_endoMong
49.33333333,104.4166667,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:94245,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Bulgan,Булган,Cricetidae,22-Nov-97,22-Арваннэгдүгээр сар-97,1997,,,,None,Байхгүй,0,0,None,Байхгүй,0,0
49.77678803,103.563425,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293341,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Bulgan,Булган,Cricetidae,27-Jul-16,27-Долоодугаар сар-16,2016,289118,ectoparasite,,"Ixodida,Acari,Phthiraptera","Хатуу хачигийн баг, Аалз хэлбэртний дэд анги, Цус сорогч бөөсийн баг",3,3,None,Байхгүй,0,0
49.77650296,103.571735,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293462,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Bulgan,Булган,Cricetidae,27-Jul-16,27-Долоодугаар сар-16,2016,289120,ectoparasite,,"Siphonaptera,Ixodida","Бүүргийн баг, Хатуу хачигийн баг",2,2,None,Байхгүй,0,0
49.77612502,103.571045,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293330,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Bulgan,Булган,Cricetidae,27-Jul-16,27-Долоодугаар сар-16,2016,289106,ectoparasite, endoparasite,"Ixodida,Acari","Хатуу хачигийн баг, Аалз хэлбэртний дэд анги",2,2,Yes,Тиймээ,Unknown,Тодорхойгүй
48.77671801,110.662239,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293756,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Hentiy,Хэнтий,Cricetidae,8-Aug-16,08-Наймдугаар сар-16,2016,289413,ectoparasite,,"Ixodida,Acari","Хатуу хачигийн баг, Аалз хэлбэртний дэд анги",2,2,None,Байхгүй,0,0
46.99853397,119.373526,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293773,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289548,ectoparasite,,Acari,Аалз хэлбэртний дэд анги,1,1,None,Байхгүй,0,0
47.00618698,119.377516,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294148,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289594,ectoparasite,,Acari,Аалз хэлбэртний дэд анги,1,1,None,Байхгүй,0,0
47.00574903,119.377798,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294181,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289603,ectoparasite,,Acari,Аалз хэлбэртний дэд анги,1,1,None,Байхгүй,0,0
47.00291804,119.37583,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293791,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289566,ectoparasite,,"Acari,Phthiraptera","Аалз хэлбэртний дэд анги, Цус сорогч бөөсийн баг",2,2,None,Байхгүй,0,0
46.997949,119.373475,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293776,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289551,ectoparasite,,"Diptera,Siphonaptera","Хос далавчтаны баг, Бүүргийн баг",2,2,None,Байхгүй,0,0
47.003,119.372,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293809,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289584,ectoparasite,,Ixodida,Хатуу хачигийн баг,1,1,None,Байхгүй,0,0
47.00359496,119.376865,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294156,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289659,,,None,Байхгүй,0,0,None,Байхгүй,0,0
47.00330897,119.376475,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293784,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289559,ectoparasite,,Siphonaptera,Бүүргийн баг,1,1,None,Байхгүй,0,0
47.00256399,119.375148,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293792,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289567,ectoparasite,,Yes,Тиймээ,Unknown,Тодорхойгүй,None,Байхгүй,0,0
46.99924,119.3716,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293777,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289552,ectoparasite, endoparasite,Acari,Аалз хэлбэртний дэд анги,1,1,Yes,Тиймээ,Unknown,Тодорхойгүй
47.00577099,119.377348,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294117,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289587,ectoparasite, endoparasite,Acari,Аалз хэлбэртний дэд анги,1,1,Yes,Тиймээ,Unknown,Тодорхойгүй
46.99798697,119.37354,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294187,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289666,ectoparasite, endoparasite,Acari,Аалз хэлбэртний дэд анги,1,1,Yes,Тиймээ,Unknown,Тодорхойгүй
47.003,119.372,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294119,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289589,ectoparasite, endoparasite,"Acari,Siphonaptera","Аалз хэлбэртний дэд анги, Бүүргийн баг",2,2,Yes,Тиймээ,Unknown,Тодорхойгүй
47.00606796,119.377888,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294154,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289600,ectoparasite, endoparasite,"Acari,Siphonaptera","Аалз хэлбэртний дэд анги, Бүүргийн баг",2,2,Yes,Тиймээ,Unknown,Тодорхойгүй
46.99918801,119.373063,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293783,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289558,ectoparasite, endoparasite,"Ixodida,Acari,Siphonaptera","Хатуу хачигийн баг, Аалз хэлбэртний дэд анги, Бүүргийн баг",3,3,Yes,Тиймээ,Unknown,Тодорхойгүй
47.002868,119.379024,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293787,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289562,ectoparasite, endoparasite,"Ixodida,Siphonaptera","Хатуу хачигийн баг, Бүүргийн баг",2,2,Yes,Тиймээ,Unknown,Тодорхойгүй
47.003,119.372,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294188,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289667,,endoparasite,None,Байхгүй,0,0,Yes,Тиймээ,Unknown,Тодорхойгүй
46.99902297,119.372777,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293920,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289649,ectoparasite, endoparasite,"Phthiraptera,Acari",Цус сорогч бөөсийн баг,2,2,Yes,Тиймээ,Unknown,Тодорхойгүй
47.00307403,119.378226,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293802,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289577,ectoparasite, endoparasite,"Phthiraptera,Ixodida","Цус сорогч бөөсийн баг, Хатуу хачигийн баг",2,2,Yes,Тиймээ,Unknown,Тодорхойгүй
47.00617902,119.377502,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294161,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289664,ectoparasite, endoparasite,Siphonaptera,Бүүргийн баг,1,1,Yes,Тиймээ,Unknown,Тодорхойгүй
47.00580996,119.377797,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294193,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,15-Aug-16,15-Наймдугаар сар-16,2016,289672,ectoparasite, endoparasite,Yes,Тиймээ,Unknown,Тодорхойгүй,Yes,Тиймээ,Unknown,Тодорхойгүй
47.00287202,119.378993,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294327,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,16-Aug-16,16-Наймдугаар сар-16,2016,289767,ectoparasite,,Acari,Аалз хэлбэртний дэд анги,1,1,None,Байхгүй,0,0
46.99854897,119.370959,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294255,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,16-Aug-16,16-Наймдугаар сар-16,2016,289686,,,None,Байхгүй,0,0,None,Байхгүй,0,0
47.00304201,119.378339,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:293901,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,16-Aug-16,16-Наймдугаар сар-16,2016,289711,,,None,Байхгүй,0,0,None,Байхгүй,0,0
46.99899397,119.372583,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294325,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,16-Aug-16,16-Наймдугаар сар-16,2016,289765,,,None,Байхгүй,0,0,None,Байхгүй,0,0
46.99877998,119.370941,Point,http://arctosdb.org/home/data/; http://creativecommons.org/licenses/by-nc/3.0,MSB:Mamm:294266,Alexandromys fortis,Өргөөнч оготно,Mongolia,Монгол улс,Dornod,Дорнод,Cricetidae,16-Aug-16,16-Наймдугаар сар-16,2016,289754,ectoparasite,,Siphonaptera,Бүүргийн баг,1,1,None,Байхгүй,0,0
